"","kabupaten_kota","umbi_umbian","ketala_pohon_singkong","ketela_rambat_ubi_jalar","sagu_bukan_dari_ketela_pohon","talas_keladi","kentang","gaplek","umbi_umbian_lainnya"
"312","Sabu Raijua",360,168,68,NA,33,92,NA,NA
"313","Malaka",764,483,35,55,7,39,94,51
"314","Kota Kupang",1487,358,127,NA,25,976,NA,NA
"315","Sambas",961,341,155,24,160,275,6,NA
"316","Bengkayang",719,347,121,2,95,155,NA,NA
"317","Landak",1114,596,133,34,88,257,1,3
"318","Mempawah",902,330,133,9,127,301,2,NA
"319","Sanggau",1082,492,172,NA,42,366,NA,10
"320","Ketapang",1386,651,211,NA,118,352,5,49
"321","Sintang",1239,535,212,9,185,286,12,NA
"322","Kapuas Hulu",1245,479,280,55,226,202,1,2
"323","Sekadau",851,340,128,3,128,235,7,11
"324","Melawi",1100,461,87,6,275,269,NA,2
"325","Kayong Utara",1204,385,223,11,238,345,NA,2
"326","Kubu Raya",864,349,103,17,105,275,NA,15
"327","Kota Pontianak",1580,301,253,4,120,900,NA,3
"328","Kota Singkawang",1506,441,299,3,137,618,NA,7
"329","Kotawaringin Barat",2276,884,464,NA,136,759,24,9
"330","Kotawaringin Timur",1543,627,258,0,140,512,1,4
"331","Kapuas",1326,763,84,14,232,207,21,5
"332","Barito Selatan",1650,756,240,7,148,485,NA,12
"333","Barito Utara",1469,778,310,21,48,292,8,12
"334","Sukamara",2015,786,302,6,186,668,59,8
"335","Lamandau",2988,1327,519,4,262,859,16,NA
"336","Seruyan",1948,634,510,3,175,612,13,NA
"337","Katingan",1444,712,199,7,135,383,8,NA
"338","Pulang Pisau",1827,886,334,3,226,304,55,19
"339","Gunung Mas",1189,834,152,NA,73,128,NA,2
"340","Barito Timur",1528,924,209,5,100,253,13,23
"341","Murung Raya",1227,804,117,11,53,240,2,NA
"342","Kota Palangka Raya",1974,579,272,8,86,1018,11,0
"343","Tanah Laut",1208,460,306,3,119,312,5,5
"344","Kota Baru",1233,692,185,5,48,278,18,7
"345","Banjar",974,514,103,10,72,268,NA,6
"346","Barito Kuala",1067,476,115,4,228,236,NA,8
"347","Tapin",1135,504,104,9,109,397,NA,12
"348","Hulu Sungai Selatan",509,278,40,1,102,84,NA,5
"349","Hulu Sungai Tengah",565,239,63,12,120,132,NA,NA
"350","Hulu Sungai Utara",623,257,64,4,60,200,NA,39
"351","Tabalong",1210,516,135,NA,149,399,NA,10
"352","Tanah Bumbu",1396,801,205,6,31,314,27,11
"353","Balangan",751,412,33,9,126,170,NA,1
"354","Kota Banjarmasin",1227,351,191,5,12,647,NA,19
"355","Kota Banjar Baru",1800,687,220,NA,39,854,NA,1
"356","Paser",1425,600,222,49,85,454,5,10
"357","Kutai Barat",1694,962,286,11,31,391,10,3
"358","Kutai Kartanegara",1164,673,108,10,133,233,7,NA
"359","Kutai Timur",1576,757,236,NA,41,508,NA,34
"360","Berau",1625,555,281,21,53,703,10,2
"361","Penajam Paser Utara",1491,757,347,4,41,322,20,NA
"362","Mahakam Ulu",2452,1741,241,18,4,438,NA,10
"363","Kota Balikpapan",2001,661,339,15,82,883,4,17
"364","Kota Samarinda",1309,445,160,NA,62,633,8,NA
"365","Kota Bontang",1973,691,391,38,26,816,1,10
"366","Malinau",2324,1148,291,247,114,397,NA,127
"367","Bulungan",1888,824,315,20,246,435,48,NA
"368","Tana Tidung",2106,1112,229,29,245,482,6,3
"369","Nunukan",2521,1925,252,23,47,216,NA,58
"370","Kota Tarakan",1953,716,394,15,25,804,NA,NA
"371","Bolaang Mongondow",1669,696,247,19,86,588,11,22
"372","Minahasa",1772,618,313,14,242,581,NA,4
"373","Kepulauan Sangihe",4187,1469,493,1377,780,58,0,9
"374","Kepulauan Talaud",3435,1902,404,13,1028,62,NA,26
"375","Minahasa Selatan",2237,662,306,21,435,771,34,8
"376","Minahasa Utara",2307,1422,280,25,154,396,NA,30
"377","Bolaang Mongondow Utara",1712,848,461,295,25,83,NA,NA
"378","Siau Tagulandang Biaro",2576,1454,298,34,690,78,NA,22
"379","Minahasa Tenggara",1303,553,184,34,260,265,NA,7
"380","Bolaang Mongondow Selatan",926,516,268,20,56,61,NA,5
"381","Bolaang Mongondow Timur",1677,823,284,25,71,470,NA,4
"382","Kota Manado",1617,805,169,47,62,529,NA,5
"383","Kota Bitung",2264,1344,349,55,214,271,6,25
"384","Kota Tomohon",2162,1026,351,17,290,434,4,41
"385","Kota Kotamobagu",1758,694,246,8,99,710,0,NA
"386","Banggai Kepulauan",4769,571,433,426,2829,33,78,399
"387","Banggai",1750,858,401,239,217,15,NA,20
"388","Morowali",2180,683,386,912,46,113,42,NA
"389","Poso",1681,815,397,375,47,48,NA,NA
"390","Donggala",1209,682,210,202,52,62,1,NA
"391","Toli-Toli",702,303,252,102,6,38,NA,0
"392","Buol",1093,368,171,468,6,74,5,NA
