"","kabupaten_kota","umbi_umbian","ketala_pohon_singkong","ketela_rambat_ubi_jalar","sagu_bukan_dari_ketela_pohon","talas_keladi","kentang","gaplek","umbi_umbian_lainnya"
"497","Asmat",10386,1530,402,8175,185,94,NA,NA
"498","Yahukimo",45583,4679,29707,12,10881,299,NA,4
"499","Pegunungan Bintang",44440,8666,21243,808,13148,574,NA,NA
"500","Tolikara",27909,6083,20780,NA,800,246,NA,NA
"501","Sarmi",6675,1469,1074,3150,852,130,NA,NA
"502","Keerom",4584,1845,656,1379,566,130,8,NA
"503","Waropen",9074,3020,649,4366,963,72,NA,4
"504","Supiori",12445,3305,468,5499,3101,66,NA,7
"505","Mamberamo Raya",10747,2992,995,5244,1492,24,NA,NA
"506","Nduga",143211,9218,119341,262,13294,847,10,239
"507","Lanny Jaya",117938,3000,111053,NA,1893,1993,NA,NA
"508","Mamberamo Tengah",68622,7421,56946,NA,4199,57,NA,NA
"509","Yalimo",68227,8736,43762,4389,11232,108,NA,NA
"510","Puncak",49645,236,48331,NA,NA,1079,NA,NA
"511","Dogiyai",9070,1243,5803,122,961,794,146,NA
"512","Intan Jaya",8076,NA,8076,NA,NA,NA,NA,NA
"513","Deiyai",9303,442,8761,NA,100,NA,NA,NA
"514","Kota Jayapura",3561,1234,483,913,609,307,15,0
