"","kabupaten_kota","kacang_kacangan","kacang_tanah_tanpa_kulit","kacang_kedele","kacang_lainnya","tahu","tempe","oncom","hasil_lain_dari_kacang_kacangan"
"293","Sumba Barat",1116,70,NA,17,568,460,NA,NA
"294","Sumba Timur",1475,222,7,178,616,452,NA,NA
"295","Kupang",1874,282,NA,418,580,583,1,10
"296","Timor Tengah Selatan",2603,534,4,685,731,649,NA,NA
"297","Timor Tengah Utara",2879,256,3,638,995,973,NA,14
"298","Belu",2835,356,3,180,1166,1121,8,NA
"299","Alor",1371,163,10,488,355,322,NA,32
"300","Lembata",1210,447,NA,40,401,308,NA,14
"301","Flores Timur",1247,127,NA,50,662,407,NA,1
"302","Sikka",961,135,NA,88,465,273,NA,NA
"303","Ende",1772,106,13,69,920,664,NA,NA
"304","Ngada",1871,189,19,179,793,692,NA,NA
"305","Manggarai",2786,52,26,594,1013,1072,NA,29
"306","Rote Ndao",1768,465,NA,234,570,490,1,7
"307","Manggarai Barat",1618,56,NA,308,581,672,NA,1
"308","Sumba Tengah",1134,218,3,109,378,426,NA,NA
"309","Sumba Barat Daya",1909,706,13,140,549,499,1,2
"310","Nagekeo",1247,112,25,53,549,507,3,NA
"311","Manggarai Timur",1621,71,26,226,530,768,NA,1
"312","Sabu Raijua",5363,370,18,4127,375,448,NA,24
"313","Malaka",2406,125,2,507,910,853,7,2
"314","Kota Kupang",3715,188,NA,269,1670,1585,2,NA
"315","Sambas",1819,71,10,26,857,849,5,NA
"316","Bengkayang",2475,41,5,27,1368,1021,4,8
"317","Landak",2141,128,2,65,1105,829,11,1
"318","Mempawah",1846,83,23,76,823,829,5,7
"319","Sanggau",2268,86,23,36,1102,1020,2,NA
"320","Ketapang",2441,46,12,13,985,1380,5,NA
"321","Sintang",1826,101,NA,44,872,795,12,2
"322","Kapuas Hulu",1366,22,NA,9,744,588,2,NA
"323","Sekadau",1894,100,49,39,946,751,1,7
"324","Melawi",2050,41,NA,37,1040,932,NA,NA
"325","Kayong Utara",2323,87,NA,92,973,1171,NA,NA
"326","Kubu Raya",2180,134,NA,139,842,1053,12,NA
"327","Kota Pontianak",2732,85,22,142,1307,1170,6,NA
"328","Kota Singkawang",3075,214,11,46,1638,1124,7,35
"329","Kotawaringin Barat",4252,189,8,88,2026,1919,12,11
"330","Kotawaringin Timur",3492,253,10,31,1669,1524,6,NA
"331","Kapuas",2086,50,NA,10,1044,982,NA,NA
"332","Barito Selatan",2123,55,NA,40,1018,1006,2,3
"333","Barito Utara",2358,79,NA,39,1202,1034,5,NA
"334","Sukamara",3550,102,NA,30,1756,1651,11,NA
"335","Lamandau",4619,160,NA,33,2226,2192,9,NA
"336","Seruyan",3001,145,7,NA,1561,1288,NA,NA
"337","Katingan",2520,66,NA,NA,1286,1168,NA,NA
"338","Pulang Pisau",3461,177,NA,61,1597,1610,16,NA
"339","Gunung Mas",1733,24,NA,39,884,785,NA,NA
"340","Barito Timur",2281,87,NA,115,1020,1042,16,NA
"341","Murung Raya",2099,75,3,4,1084,933,NA,NA
"342","Kota Palangka Raya",2952,86,36,36,1424,1352,18,NA
"343","Tanah Laut",2649,77,NA,7,1342,1219,1,3
"344","Kota Baru",2500,83,NA,19,1133,1261,NA,5
"345","Banjar",2166,150,8,5,948,1054,2,NA
"346","Barito Kuala",2047,174,4,26,865,978,NA,NA
"347","Tapin",2800,167,11,8,1258,1342,11,3
"348","Hulu Sungai Selatan",2037,107,NA,4,894,1020,12,NA
"349","Hulu Sungai Tengah",2333,133,25,NA,968,1203,3,NA
"350","Hulu Sungai Utara",1543,48,NA,18,695,777,4,NA
"351","Tabalong",2433,124,5,20,1162,1117,4,NA
"352","Tanah Bumbu",3222,172,2,33,1415,1596,NA,3
"353","Balangan",2356,121,9,NA,1067,1158,1,NA
"354","Kota Banjarmasin",2434,218,11,27,1097,1051,30,1
"355","Kota Banjar Baru",3746,213,133,46,1778,1566,8,NA
"356","Paser",3842,146,NA,23,1804,1855,0,13
"357","Kutai Barat",2787,80,NA,39,1234,1415,10,10
"358","Kutai Kartanegara",3186,76,10,34,1448,1614,3,NA
"359","Kutai Timur",4045,134,7,52,1862,1965,17,8
"360","Berau",3662,223,NA,39,1598,1792,10,NA
"361","Penajam Paser Utara",3746,169,NA,53,1778,1744,2,NA
"362","Mahakam Ulu",2848,124,NA,NA,1287,1420,17,NA
"363","Kota Balikpapan",3399,72,4,65,1667,1588,2,1
"364","Kota Samarinda",3053,146,4,130,1266,1477,28,2
"365","Kota Bontang",3775,151,NA,98,1794,1725,7,NA
"366","Malinau",2010,200,34,16,957,803,NA,NA
"367","Bulungan",3520,136,10,43,1686,1631,NA,13
"368","Tana Tidung",3376,177,NA,8,1607,1581,4,NA
