"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"428","Bombana",27086,56,1580,1470,1149,1278,70,860,3414,311,1449,41,143,1009,60,2432,178,2147,1217,713,186,25,946,415,886,1510,1022,875,890,210,498,46
"429","Wakatobi",24551,161,4396,893,1629,1437,380,444,2736,791,987,42,146,1098,29,915,58,1122,1173,904,136,7,147,1280,706,793,186,193,1080,129,532,22
"430","Kolaka Utara",39901,194,1561,829,2093,2567,305,1737,11023,1711,261,20,1340,276,459,4236,215,2204,283,457,180,225,923,287,921,1084,1034,466,1933,539,505,32
"431","Buton Utara",21242,72,2685,1036,1628,1606,251,314,4754,292,182,33,65,446,50,564,196,1395,398,415,51,12,252,435,549,959,596,543,582,209,468,205
"432","Konawe Utara",39173,125,837,1365,2217,1539,62,787,15631,637,683,14,377,473,74,2014,350,1408,572,698,210,66,873,807,1870,857,748,800,1516,469,388,707
"433","Kolaka Timur",24272,56,692,676,1805,1591,50,1564,2456,162,1569,28,352,1400,107,1857,65,1756,757,1699,434,14,461,748,829,379,474,300,1382,334,241,34
"434","Konawe Kepulauan",24298,117,1358,940,2405,1810,205,380,6291,339,585,46,75,495,27,974,467,1017,697,106,61,14,931,70,1121,491,376,301,1970,152,442,37
"435","Muna Barat",20205,65,2753,1001,1423,2092,273,416,4447,128,206,110,116,199,10,631,151,1093,161,98,46,8,431,664,773,188,651,360,557,178,616,359
"436","Buton Tengah",25709,168,3271,1329,1691,2459,358,568,2305,1142,1006,9,52,1137,12,1106,348,1163,950,83,9,7,685,1209,1078,552,347,326,706,434,1149,50
"437","Buton Selatan",18766,126,2320,1017,1067,2122,492,93,1252,497,1002,30,26,836,20,1111,230,1065,506,220,1,1,666,856,846,82,422,303,700,271,559,27
"438","Kota Kendari",56953,552,1667,1957,3184,3173,370,1375,7631,2100,2498,50,927,2641,434,4892,284,1827,2858,3753,535,616,1365,1514,2614,2906,1148,892,1089,459,1349,292
"439","Kota Baubau",30187,383,2864,1050,910,1738,109,372,8211,734,316,16,751,502,219,1927,78,1135,563,994,104,111,149,819,1311,1901,414,717,540,525,545,176
"440","Boalemo",25521,74,640,618,1842,1675,145,423,5526,883,860,32,302,642,75,1688,77,1299,1317,459,134,139,548,90,899,1381,337,838,510,510,700,861
"441","Gorontalo",31944,258,1094,1001,2340,2219,521,622,3696,1585,2121,157,526,1065,292,1668,209,1954,2001,1449,72,181,550,569,1106,1074,160,762,977,548,822,346
"442","Pohuwato",28050,130,633,579,1431,1257,276,625,6215,1251,966,13,505,524,269,1535,134,1567,1162,1165,120,189,976,734,966,1938,195,708,934,415,361,278
"443","Bone Bolango",37460,295,1820,758,2622,2028,817,822,4443,3012,3398,40,663,826,287,2133,448,992,1044,1346,89,423,766,559,1886,1341,350,791,1305,585,1101,470
"444","Gorontalo Utara",26294,76,814,801,2044,1736,242,271,5702,1244,1106,NA,302,709,15,1356,82,1262,1198,851,46,76,303,243,615,1502,246,641,1211,358,569,671
