"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"1","Simeulue",23744,46,348,411,3903,1877,154,54,1277,693,186,2593,203,230,245,2226,495,835,546,229,11,15,164,94,137,1587,78,313,4114,396,286,NA
"2","Aceh Singkil",26997,1077,1093,566,1309,2966,558,611,632,2166,703,922,357,558,579,2820,636,2208,770,487,286,54,270,201,254,1134,118,145,2253,876,356,31
"3","Aceh Selatan",38327,166,1021,710,3243,2531,329,256,8938,991,1261,763,176,406,451,3936,711,2776,961,560,28,11,449,98,237,476,329,425,4892,862,335,0
"4","Aceh Tenggara",28338,254,761,514,1710,2488,363,443,1234,1525,142,2765,227,361,753,2912,443,1207,156,322,630,110,1478,172,466,546,312,613,3634,822,414,559
"5","Aceh Timur",39395,330,790,549,2644,2625,929,227,4189,2833,217,2418,137,181,444,5359,396,1628,198,233,385,171,1062,269,645,748,506,366,7494,1166,258,NA
"6","Aceh Tengah",48300,546,1892,2137,2858,3407,441,622,6242,1894,420,2301,292,296,755,6455,535,3328,506,897,988,178,2681,534,366,881,158,814,4551,1043,281,NA
"7","Aceh Barat",67356,380,1667,850,3996,3559,858,494,12556,4494,820,2162,415,512,973,8064,886,5075,778,1050,137,132,679,1433,634,1703,806,880,7934,1370,2056,NA
"8","Aceh Besar",51446,586,1666,1150,4876,2675,645,347,1691,3406,2181,2031,183,843,718,4899,1144,2282,1633,856,387,294,1982,214,369,1913,692,1017,9363,1167,235,NA
"9","Pidie",53479,435,1365,1479,4955,4343,852,445,4241,4067,285,2044,46,160,1085,7993,879,2610,183,117,400,34,1496,229,436,1016,770,1747,7788,1314,667,NA
"10","Bireuen",56157,185,1261,1575,5058,3410,492,398,6413,2947,619,1905,156,388,704,6471,893,3447,621,865,609,118,2236,949,1015,785,371,997,8952,1399,916,NA
"11","Aceh Utara",32540,273,778,568,2974,2106,610,242,509,2031,834,1541,101,250,232,4703,507,1527,157,184,223,73,2038,157,161,464,264,713,7052,915,354,NA
"12","Aceh Barat Daya",34579,192,767,932,2584,2276,158,209,10221,1140,281,518,171,245,334,4584,418,1185,249,201,177,26,389,182,817,722,413,230,3857,863,238,NA
"13","Gayo Lues",55610,586,1479,1290,2186,4008,928,531,13557,1079,335,6466,176,478,1965,4117,931,4033,252,739,780,58,955,593,234,672,390,411,4636,1456,287,NA
"14","Aceh Tamiang",32408,206,1068,849,1171,2102,232,166,3853,1256,222,3105,278,1243,660,3245,144,1586,1004,1051,924,43,1637,359,229,1396,245,206,2629,815,483,NA
"15","Nagan Raya",58733,473,939,845,3020,3178,1061,619,19016,2823,470,977,158,184,861,7051,1198,2594,110,140,175,59,1018,315,268,955,547,471,6494,1532,1183,NA
"16","Aceh Jaya",57598,314,1507,1830,4935,3645,778,267,6184,3749,926,1281,269,874,582,6664,1835,3234,1198,481,212,3,1245,377,865,904,934,689,9361,1486,970,NA
"17","Bener Meriah",44421,266,1109,1356,4084,4234,301,777,8969,939,805,1434,55,487,318,5434,363,3719,314,148,841,47,1834,79,200,266,186,340,4572,856,88,NA
"18","Pidie Jaya",54615,760,1449,1458,5323,3556,735,729,2956,4107,776,2224,68,85,606,7610,971,2212,237,311,164,65,2189,1463,601,920,855,810,9473,1644,258,NA
"19","Kota Banda Aceh",104906,879,2290,1499,5459,2309,440,726,19184,6117,1004,4719,1051,1186,2128,8264,554,2841,3281,3737,349,866,2489,4524,2457,4210,1682,1380,13975,1318,3986,NA
"20","Kota Sabang",69934,338,1163,1878,6490,3279,583,658,10050,3529,500,3278,421,1552,696,6336,496,4090,2023,1048,697,548,2502,880,1208,2430,595,1260,9138,1076,1192,NA
"21","Kota Langsa",57622,412,999,1181,2047,2215,614,655,8924,2862,600,3430,454,1816,1794,5462,342,3010,2251,1924,1420,368,1220,620,467,2626,572,981,5693,1220,1442,NA
"22","Kota Lhokseumawe",62012,737,1597,1121,3688,3247,847,884,6821,4121,482,3352,715,1143,1356,6411,715,2285,1167,1598,642,479,2610,1308,434,2745,422,731,7488,1119,1747,NA
"23","Kota Subulussalam",27540,392,1014,474,1201,2467,397,326,2427,1186,300,2247,320,143,878,3638,305,2481,152,483,536,14,463,275,109,534,229,234,2654,1036,624,NA
"24","Nias",9643,76,181,168,1315,931,219,23,101,327,80,88,22,152,1,1698,661,584,89,142,8,18,7,91,295,172,135,127,1319,207,96,313
"25","Mandailing Natal",32163,465,1694,743,1035,3206,405,1237,1986,1081,147,2849,859,304,1769,2262,493,2893,271,378,624,34,383,170,178,352,280,475,4508,675,406,3
"26","Tapanuli Selatan",29895,324,1453,872,1140,2733,778,999,933,922,862,2412,915,450,919,1723,568,2080,281,738,460,83,330,420,117,199,66,258,5410,712,404,335
"27","Tapanuli Tengah",30018,275,1122,831,1295,2233,205,725,2632,814,1656,2224,609,747,512,2585,203,2339,1386,1421,258,24,198,485,168,403,278,354,2796,461,379,399
"28","Tapanuli Utara",26370,285,911,794,696,1344,145,363,8637,593,156,830,90,120,525,1742,51,1730,161,393,60,18,66,1272,165,90,52,78,2548,272,67,2120
"29","Toba Samosir",37673,401,1394,1297,818,2152,432,422,3838,842,1255,607,495,675,621,5555,263,2030,1422,1647,357,112,236,830,272,342,154,514,4132,710,78,3769
"30","Labuhan Batu",30876,302,879,1206,976,1891,311,375,3746,1808,292,1794,376,528,441,4049,327,1776,606,451,415,77,773,737,232,1482,181,404,2554,667,1019,205
"31","Asahan",33239,393,1079,948,1024,2249,330,468,6198,1283,356,1673,615,885,438,4028,298,2395,640,921,626,113,323,1055,102,1292,234,228,1164,675,1117,91
"32","Simalungun",32320,307,1568,907,1143,2089,351,508,3895,755,573,1827,348,605,273,4299,201,1989,789,922,732,72,383,634,187,199,269,338,3753,758,525,1119
"33","Dairi",26088,484,983,839,808,1636,250,287,5017,522,126,488,303,118,615,3381,131,1710,223,294,45,37,178,1300,59,59,111,299,2739,421,225,2399
"34","Karo",60451,863,2491,1392,1779,2938,741,579,7319,1815,580,2755,624,829,471,5845,460,2501,1029,1421,709,155,1332,478,683,365,784,1615,16341,963,201,392
"35","Deli Serdang",36587,336,1774,1163,1077,1828,655,595,4024,1637,460,2903,460,1147,712,3626,138,1776,511,1580,798,186,556,701,170,2325,337,305,2953,782,1025,47
"36","Langkat",34770,129,1357,889,803,1734,339,523,6587,1093,449,2018,264,1241,602,3287,198,2040,470,1056,1081,133,1396,634,239,1245,340,416,2376,755,1061,16
"37","Nias Selatan",10127,317,495,448,1959,731,127,5,71,446,149,261,22,24,23,1559,466,428,64,155,9,4,29,206,68,378,161,66,735,261,82,377
"38","Humbang Hasundutan",19044,304,933,1186,452,1192,268,384,1685,490,207,429,128,9,278,2099,143,1689,315,166,13,22,25,842,124,41,99,73,3252,334,99,1762
"39","Pakpak Bharat",26679,297,1103,1217,413,2075,70,158,5965,362,16,340,94,75,883,3366,242,2904,317,179,14,15,286,552,291,63,132,318,2766,517,273,1376
"40","Samosir",30615,291,1249,1192,553,1514,241,208,2868,560,306,351,132,83,454,3862,265,1583,585,1016,113,58,25,1082,235,560,88,101,5814,469,203,4553
"41","Serdang Bedagai",33044,412,1592,915,812,1921,239,397,3637,1033,485,2968,224,1063,742,4062,127,2457,644,1491,1021,62,390,783,178,998,156,265,1910,654,1155,252
"42","Batu Bara",31979,169,1307,903,710,1745,158,588,5397,1333,33,3028,318,852,541,2918,232,2284,669,705,1025,111,307,1299,114,936,360,352,1830,737,684,331
"43","Padang Lawas Utara",33468,149,911,1169,1200,3452,139,916,5257,800,384,1352,404,51,1138,3131,560,2579,56,46,209,20,122,481,274,647,262,289,5699,601,1024,145
"44","Padang Lawas",37412,398,1427,949,1118,4723,307,2123,1484,1258,213,2610,354,197,2091,3201,680,3299,94,258,581,30,520,366,266,625,235,345,5966,401,1262,33
"45","Labuhan Batu Selatan",34215,661,1012,586,1102,2886,192,504,1122,1465,1239,2338,263,1175,501,4896,408,1919,492,1615,1289,7,421,360,237,1476,200,300,2916,753,1772,109
"46","Labuhan Batu Utara",32423,183,1177,994,1225,2541,226,406,5871,902,139,1430,420,245,385,4242,340,2217,270,391,1007,30,262,617,337,1291,239,535,2455,759,784,504
"47","Nias Utara",10093,195,363,318,1811,781,48,3,79,277,169,216,39,47,53,897,530,867,70,266,9,24,NA,66,157,955,346,258,671,191,81,308
"48","Nias Barat",8647,172,323,399,703,940,179,2,28,287,192,75,24,31,26,1008,504,666,102,297,2,19,NA,226,83,84,184,255,1504,222,59,50
"49","Kota Sibolga",58227,253,1765,836,1216,2327,479,481,19695,2260,232,5878,449,699,2181,5878,167,1642,2364,848,749,166,564,360,230,573,307,409,3857,730,445,186
"50","Kota Tanjung Balai",54639,271,1579,1583,1106,2453,614,920,15987,3637,397,3085,548,1417,621,3141,1100,2406,1376,744,797,244,596,824,159,1700,276,806,3844,889,1444,73
"51","Kota Pematang Siantar",42088,930,1934,1329,1263,1834,770,612,6647,1108,625,3669,630,678,783,4681,297,1547,1775,1150,442,355,490,1103,315,631,192,592,3855,811,529,511
"52","Kota Tebing Tinggi",51519,403,1873,1153,1007,1583,389,622,8629,2677,845,5105,549,1916,1316,4221,335,1983,2357,1502,1086,606,799,1377,208,1911,555,1567,2350,1163,1335,99
"53","Kota Medan",64601,832,1959,1532,1571,1842,1158,1054,6573,3030,853,5907,1628,2489,1487,5816,506,2406,2784,2573,1365,1123,682,2608,480,3584,508,905,3392,1192,2391,372
"54","Kota Binjai",41514,356,1577,923,716,1777,418,477,4072,2323,841,5034,781,1678,1206,4516,143,1431,1552,1899,713,648,622,745,141,2506,397,350,1906,819,946,NA
"55","Kota Padangsidimpuan",56756,410,1328,1207,1815,4509,1251,1033,4830,2283,2349,4200,1792,1540,1620,4190,599,4207,1589,2626,1410,370,1138,1140,158,925,309,748,5766,895,464,54
"56","Kota Gunungsitoli",18583,78,573,477,1553,1156,178,166,1672,1065,105,804,310,386,421,1940,239,1009,621,521,35,30,149,262,248,1455,582,644,1008,144,361,391
"57","Kepulauan Mentawai",27809,488,2023,1822,778,2417,262,427,372,1790,672,2817,115,22,1165,1252,416,2231,859,1368,150,2,7,263,219,1122,811,659,2376,177,703,25
"58","Pesisir Selatan",39139,281,2280,1479,1327,3116,404,3069,3132,1924,152,5085,330,306,2522,1861,115,3495,390,664,1051,24,272,437,220,1221,647,384,1258,669,949,75
"59","Solok",35616,426,1791,938,681,4023,547,699,2825,1443,304,5323,133,75,2544,2356,324,4053,154,543,847,103,292,485,178,770,257,260,1869,684,684,6
"60","Sijunjung",39566,316,1991,874,837,3675,296,846,3614,3380,447,2648,536,29,2394,4072,448,3529,677,1322,891,36,432,393,308,1156,730,416,1704,990,580,NA
"61","Tanah Datar",48962,300,2245,2446,1345,3808,620,1035,5127,2889,1109,5535,511,430,2622,2452,229,4232,919,1722,1072,113,342,1358,325,833,484,359,3138,840,518,3
"62","Padang Pariaman",52642,468,1960,1166,717,3667,775,1078,7772,2597,492,8814,555,341,2468,2710,526,3393,934,1013,974,125,875,459,547,851,795,375,4332,633,1206,23
"63","Agam",36621,597,1961,1423,719,2841,513,780,1577,2667,970,4695,649,307,2408,2828,296,2352,1068,2010,496,187,522,394,100,904,274,267,1910,565,337,4
"64","Lima Puluh Kota",51843,250,2711,1812,1859,4006,774,1048,6111,3397,94,4620,667,606,3296,3025,488,4557,571,909,1526,116,347,803,84,753,1036,388,4259,670,1045,14
"65","Pasaman",35787,210,2643,840,671,3665,443,1044,3949,1479,203,3324,404,186,2741,2085,284,2707,681,704,533,21,432,430,75,702,449,533,3598,489,264,NA
"66","Solok Selatan",38926,631,2012,864,474,4344,362,1178,5451,1821,87,2965,402,147,4556,2977,207,3900,75,520,396,28,310,600,185,576,279,475,1478,807,794,24
"67","Dharmasraya",47659,266,1790,1258,977,3080,380,1306,4016,3205,1482,2712,592,525,3394,4842,173,4445,498,2632,1558,58,763,952,231,1141,946,578,1552,821,1481,5
"68","Pasaman Barat",40378,248,2321,766,1031,3509,342,1548,2730,2909,295,4441,594,211,4886,2661,237,3122,305,494,372,45,210,223,126,729,494,371,3842,526,786,4
"69","Kota Padang",75336,1017,2506,2022,1554,3152,785,2151,13055,4089,974,7468,1275,824,3388,3548,413,2829,2789,5076,1245,477,702,1532,1228,3105,855,1276,3270,1142,1532,55
"70","Kota Solok",53596,853,2436,1806,1466,3878,901,1046,5831,3991,63,6217,696,230,2470,3414,399,3287,634,1813,1334,498,697,1477,162,2230,496,586,2091,1438,1116,40
"71","Kota Sawah Lunto",46663,606,1791,1256,1116,3730,485,1516,6028,2209,395,4074,789,426,2541,4032,311,2593,423,1528,1101,547,536,876,292,2222,959,690,1814,1282,496,NA
"72","Kota Padang Panjang",53013,913,2149,2269,1328,2985,740,1434,5900,2258,494,5101,1256,341,3004,3826,879,3337,875,2746,861,393,935,828,450,2176,503,698,2185,1520,627,NA
"73","Kota Bukittinggi",85310,1544,3378,2905,2126,4175,1023,1852,15859,3713,471,6648,2527,525,3069,5071,398,4910,1494,6486,1611,835,1005,1236,813,2459,1009,1137,4585,1463,985,NA
"74","Kota Payakumbuh",71317,855,2652,1897,1857,3992,989,1802,11186,5781,244,5744,1814,620,3117,3982,401,3989,1771,3456,2159,279,504,1295,556,1358,927,1409,4312,1051,1319,NA
"75","Kota Pariaman",69907,736,2536,1651,1543,3463,1808,2325,6207,4445,1720,10632,1389,284,2695,3453,338,3092,2686,3025,958,621,1800,664,967,1577,813,507,5005,1332,1630,9
"76","Kuantan Singingi",40279,295,1543,856,1187,2913,231,402,3768,1620,214,3932,913,200,3114,3322,346,3480,288,1487,1334,54,578,397,470,1503,731,617,2592,1214,678,2
"77","Indragiri Hulu",32843,227,728,550,1166,2338,108,479,4502,827,193,3243,784,225,1533,3300,245,2438,214,567,1271,54,399,241,116,1690,701,399,2703,916,678,7
"78","Indragiri Hilir",34492,334,1349,847,1590,2303,137,716,5618,1249,405,1723,860,297,1116,1710,318,3221,438,693,839,231,290,604,467,1255,425,495,2659,964,1322,17
"79","Pelalawan",32947,256,655,648,700,2175,154,431,4544,1329,282,3098,346,126,1636,3069,243,2929,266,780,884,191,423,427,323,2286,606,738,2043,885,469,4
"80","Siak",40687,382,1453,1253,1168,2524,543,689,3073,1725,563,3778,843,531,1695,3292,430,2916,968,1499,1052,171,519,488,530,3181,690,602,1995,1383,719,32
"81","Kampar",36280,154,1197,548,1049,3142,318,905,3286,1435,392,3436,639,154,3439,3608,216,3093,152,507,740,93,695,391,181,1660,638,524,1881,1209,558,40
"82","Rokan Hulu",37406,396,1103,712,1155,3394,366,1146,2613,2056,2051,1968,704,372,2229,4252,588,2642,373,626,325,149,1072,92,239,1427,488,334,2924,930,648,32
"83","Bengkalis",38502,531,981,965,1587,2099,222,1055,5945,1494,256,4082,539,422,1170,3279,327,2237,414,1176,875,60,524,218,417,1687,503,938,3049,779,625,49
"84","Rokan Hilir",31257,534,1154,750,1149,2725,387,703,2443,1244,201,1646,637,164,1196,4150,445,1694,206,299,705,124,748,986,192,1579,284,353,2481,1054,1016,9
"85","Kepulauan Meranti",31980,571,1102,1213,2453,2158,69,586,4145,1536,126,3530,357,413,614,1940,306,2433,706,1094,490,151,300,290,267,464,435,325,1638,988,1280,NA
"86","Kota Pekanbaru",68953,1032,2297,1442,1650,2616,685,1243,14780,2584,343,6864,1871,463,2639,4889,255,1872,856,2624,969,1313,928,2297,960,3830,1035,1046,2850,1343,1326,50
"87","Kota Dumai",49582,436,1696,903,1452,1929,373,707,9749,1933,318,4714,868,604,1670,3974,326,2264,888,2023,1548,191,744,1570,495,3087,347,340,2559,1003,768,101
"88","Kerinci",34185,147,1749,1203,1333,3229,649,1424,1799,1934,259,3372,439,324,2839,2640,485,3274,205,1285,933,35,1092,348,136,618,260,200,968,670,337,NA
"89","Merangin",27056,208,1173,773,847,2338,266,1192,2229,727,795,1926,798,530,1256,2351,193,2353,353,1587,633,111,550,353,193,263,373,190,1297,593,605,NA
"90","Sarolangun",28323,96,815,353,781,2273,175,968,6071,860,361,1203,510,318,1333,2772,232,2084,180,699,1026,65,528,260,213,343,442,234,1818,733,577,NA
"91","Batang Hari",31476,125,1146,685,1341,2396,120,1295,3001,678,2709,1385,745,872,1041,2505,542,1920,861,1810,640,61,340,458,439,399,710,385,1720,583,556,8
"92","Muaro Jambi",33662,412,1063,862,1238,2541,335,1324,3263,951,472,1541,960,277,1658,4646,480,1819,173,1663,668,288,704,592,414,987,398,303,2086,806,737,NA
"93","Tanjung Jabung Timur",44292,687,1387,892,2336,3151,421,1589,5265,1129,2553,1634,1170,1023,1967,3021,296,2378,1087,3707,991,200,199,580,331,1262,338,264,2255,940,1240,2
"94","Tanjung Jabung Barat",35342,345,898,714,1938,2343,190,1023,5405,1017,470,683,1293,901,1001,2713,373,3644,466,1146,870,446,306,419,302,1527,558,280,2396,718,793,163
"95","Tebo",31061,243,1137,563,1325,2376,220,1569,4040,759,641,1547,665,423,2112,3672,498,1716,366,722,541,54,590,576,194,436,672,354,1860,482,706,1
"96","Bungo",36184,175,1362,490,945,3206,336,1498,3296,1169,737,1699,858,388,2447,3816,389,3161,491,1977,978,73,747,685,175,912,704,242,1294,688,1235,13
"97","Kota Jambi",57907,861,2157,1354,2714,3113,452,1802,9939,1830,862,2584,1709,1141,2458,4325,296,2039,1097,2184,1235,709,1233,2735,763,2442,582,650,1937,927,1747,33
"98","Kota Sungai Penuh",39909,364,1394,1046,1163,2999,665,1017,3920,2964,514,4847,1045,313,2829,2935,313,2764,559,1655,672,39,823,524,218,1558,193,494,1488,386,207,NA
"99","Ogan Komering Ulu",34807,326,1038,869,1587,2210,329,1101,6923,748,256,366,883,636,812,4296,101,1600,223,853,911,167,937,876,773,718,544,532,2831,731,248,383
"100","Ogan Komering Ilir",36681,234,1791,802,1543,2791,200,1146,7580,841,597,358,924,336,817,3687,316,2361,122,740,934,113,691,1185,793,698,425,367,2010,885,1386,9
"101","Muara Enim",28301,196,1685,614,911,2785,235,965,3981,653,599,392,302,541,631,3565,193,1606,425,853,953,111,430,1652,373,411,374,373,1171,548,771,NA
"102","Lahat",27575,242,1397,795,737,2915,191,850,4582,554,283,448,448,284,546,3869,551,1585,339,779,745,155,702,953,175,388,241,264,1704,562,273,19
"103","Musi Rawas",26432,99,1276,299,911,2205,273,861,1249,602,1249,310,1119,1188,654,2883,359,1222,724,2166,535,34,672,387,419,173,384,451,2263,568,889,6
"104","Musi Banyuasin",26783,259,1361,584,1141,2662,285,1321,1602,668,297,395,682,455,1220,3328,527,1689,204,582,555,216,464,956,363,815,527,582,1378,947,682,37
"105","Banyu Asin",46599,394,2831,672,1656,3890,338,2126,3927,1124,1598,1282,721,848,1504,5254,452,2394,876,2191,1339,189,642,2213,1405,1192,495,477,2285,1050,1225,8
"106","Ogan Komering Ulu Selatan",19670,139,1205,448,657,2158,178,735,2297,229,91,322,481,233,357,2204,275,1282,91,202,556,80,458,250,198,93,166,158,3303,595,229,NA
"107","Ogan Komering Ulu Timur",39792,201,1691,683,1199,2094,244,918,1578,1303,3278,674,2365,2508,577,2902,456,2116,1883,3701,860,58,653,409,493,183,443,640,3693,814,1120,55
"108","Ogan Ilir",28134,162,1573,371,1094,2687,169,1025,1790,608,1278,154,324,674,656,3033,402,1507,595,2372,896,65,510,1349,311,793,309,290,862,1003,1271,1
"109","Empat Lawang",24150,139,1215,399,912,1939,243,512,8240,106,180,423,174,157,334,2858,290,1710,98,181,348,46,478,257,461,90,207,146,1147,358,504,NA
"110","Penukal Abab Lematang Ilir",20311,113,1311,520,668,1772,126,464,2551,564,193,641,232,377,321,2334,448,806,341,591,671,134,611,702,379,543,369,374,895,479,779,2
"111","Musi Rawas Utara",31114,186,1565,446,945,2988,297,1252,640,901,2120,450,1122,987,1007,2655,470,1325,1339,2891,1099,52,463,686,630,155,541,434,1670,594,1023,181
"112","Kota Palembang",50418,905,2497,1230,2627,3481,602,1423,4895,2014,1442,1339,934,1051,1207,6260,597,1973,1293,2352,1017,1126,1086,1041,1258,1255,533,849,1525,977,1574,54
"113","Kota Prabumulih",29914,319,1201,618,1246,1930,119,536,7608,659,482,545,350,527,749,3002,140,1025,543,1008,444,235,453,2409,315,988,166,124,1067,531,577,NA
"114","Kota Pagar Alam",32997,222,1183,777,612,2181,565,478,564,701,3146,981,950,1384,837,4074,469,1785,1341,2768,853,201,741,1202,766,27,310,375,2391,634,481,NA
"115","Kota Lubuklinggau",40571,384,1429,696,1527,2321,289,1001,3544,903,2274,1142,2100,1294,1519,4704,248,1379,1030,3705,919,368,1221,758,774,544,257,329,1986,1013,914,NA
"116","Bengkulu Selatan",24647,134,817,437,828,2168,208,576,1859,631,1329,1264,519,825,1077,2107,126,1797,701,2021,594,83,883,522,346,100,462,321,1351,377,185,NA
"117","Rejang Lebong",35217,207,1327,627,1257,2671,174,271,7208,798,587,1192,793,913,1562,4027,214,2518,461,2166,362,92,1342,576,224,47,135,376,2106,630,347,7
"118","Bengkulu Utara",36776,230,899,852,1050,2829,298,989,7690,705,76,1324,580,538,1698,4444,180,2241,227,906,287,53,1443,558,181,599,630,394,3454,708,712,NA
"119","Kaur",32659,267,1339,574,871,3666,134,898,7422,881,85,1301,221,347,1577,3470,271,2400,82,285,597,86,1084,471,160,289,456,509,1608,998,293,16
"120","Seluma",25251,203,945,469,1317,2595,88,581,4897,187,270,848,521,416,856,2317,149,1968,149,598,255,42,736,227,157,53,442,376,2886,320,376,5
"121","Mukomuko",35808,131,1299,1054,1142,2787,363,886,4350,782,740,1909,1141,801,2705,3740,253,2632,493,667,218,39,867,625,284,571,686,589,2572,883,599,1
"122","Lebong",29582,109,722,571,1223,2884,214,457,4370,589,854,1634,646,1000,883,2593,342,2058,754,1426,152,39,747,553,141,149,354,336,2702,621,430,30
"123","Kepahiang",24273,101,942,278,629,1663,92,329,5305,247,464,536,281,415,1830,2758,192,2109,467,1151,212,9,958,494,96,43,191,135,1656,422,262,2
"124","Bengkulu Tengah",31846,74,832,475,1070,2632,170,541,6088,348,926,887,841,682,1587,2982,203,1552,686,1679,278,34,929,860,614,254,690,337,2352,598,647,NA
"125","Kota Bengkulu",47812,497,1544,961,1665,2774,366,884,9901,1396,422,1626,775,996,2234,4487,66,1750,929,2396,345,284,1678,2545,673,1968,479,427,1584,951,1156,55
"126","Lampung Barat",24859,204,1251,399,824,2140,379,789,4031,450,165,341,742,305,302,2771,228,1581,298,403,576,185,1176,298,142,40,257,368,3125,574,275,240
"127","Tanggamus",23975,171,1658,636,957,1991,304,830,1600,421,955,278,407,759,143,3103,430,1534,567,986,531,104,690,329,135,186,175,332,2590,571,599,NA
"128","Lampung Selatan",32894,207,1731,926,1033,2211,319,1162,3992,561,775,511,657,951,700,3501,240,2043,443,1027,827,261,1683,307,304,1315,411,617,2032,713,1433,1
"129","Lampung Timur",24513,205,1672,707,741,1576,255,834,2787,613,477,230,929,706,352,3281,204,1743,228,772,430,71,1036,147,148,294,225,305,1965,713,865,NA
"130","Lampung Tengah",29062,134,1672,604,1002,1775,282,859,6259,496,339,326,1123,390,288,3078,183,2202,178,1191,602,41,1029,227,131,167,323,422,2229,596,918,NA
"131","Lampung Utara",23166,171,1142,422,590,1444,167,838,6407,173,29,190,550,355,282,3396,96,1879,94,254,711,122,542,114,92,167,151,407,1351,486,543,1
"132","Way Kanan",29949,80,1500,550,954,1815,234,953,5722,370,952,198,984,937,387,3299,110,1732,318,1192,516,45,763,346,412,142,530,523,2912,598,872,3
"133","Tulangbawang",27081,74,1670,459,786,1696,237,875,5569,320,636,169,821,493,324,2716,129,1611,331,524,608,90,880,151,378,1059,345,344,2159,520,1099,8
"134","Pesawaran",23724,171,1684,790,763,1717,207,789,1524,637,716,191,688,793,373,3058,196,1248,449,986,516,174,1264,675,172,644,279,481,1491,518,527,NA
"135","Pringsewu",29681,331,1556,909,1207,1577,243,878,4041,382,996,242,930,1230,380,2937,151,1790,456,1407,1016,175,1082,676,182,1091,186,393,1800,549,885,NA
"136","Mesuji",23455,57,1435,559,831,1586,210,693,1457,315,1190,324,817,921,269,2117,259,1390,585,1206,505,34,870,281,296,1103,192,221,1514,794,1403,20
"137","Tulang Bawang Barat",22594,80,1212,489,791,1563,167,492,5528,425,110,341,1054,428,274,2651,59,1068,135,385,506,11,495,138,98,211,182,362,1849,479,1007,3
"138","Pesisir Barat",26113,182,1816,548,1378,3039,252,980,1622,493,325,224,605,561,228,3716,356,1748,220,408,347,322,1171,623,314,420,640,404,1946,773,437,15
"139","Kota Bandar Lampung",61133,981,2812,1267,1681,2551,548,1698,11817,2022,955,809,1538,1529,1454,6342,322,2465,1030,2268,1458,1028,2159,2781,963,2809,307,677,2179,1186,1442,56
"140","Kota Metro",56069,353,1971,1379,1935,2058,721,1719,10880,1309,1409,420,2132,1880,1061,5865,189,2758,905,3094,837,414,1766,1170,995,1744,685,437,3011,1000,1975,NA
"141","Bangka",46623,341,1435,1900,4922,2579,147,561,1191,1704,2598,189,1211,1710,1299,5978,84,2925,1847,4688,717,349,589,836,659,1444,677,490,1471,943,1075,66
"142","Belitung",51810,304,3094,1942,4582,2872,219,1465,4388,2052,429,521,1087,958,1498,6834,401,2551,733,2289,1089,682,696,984,300,2867,828,652,2337,654,2485,16
"143","Bangka Barat",40679,569,1130,1445,4953,2554,170,390,2151,755,894,176,629,1728,952,5636,307,2497,1161,1768,1039,300,218,1005,426,1353,811,645,2972,768,1263,12
"144","Bangka Tengah",41644,338,1904,1292,4705,2207,215,498,912,1411,1378,478,1089,1184,1505,6425,192,2755,1074,2966,851,301,354,1246,247,1868,818,513,1182,756,981,NA
"145","Bangka Selatan",41596,115,1592,1632,3496,4056,298,999,2043,1610,1010,619,864,882,1094,6458,223,3414,398,1276,1105,136,635,250,360,1652,753,951,1531,672,1473,NA
"146","Belitung Timur",50946,211,1972,1203,4239,2046,123,805,2507,2184,1817,96,602,1545,1147,7271,387,3491,2062,4843,1050,701,567,707,636,2932,752,672,2370,653,1338,20
"147","Kota Pangkal Pinang",62561,849,2304,1890,4393,2213,505,1251,3847,2458,3050,705,1596,3115,1833,6658,137,3462,2443,5373,613,1852,891,1772,659,3219,650,939,1936,1265,683,NA
"148","Karimun",44767,1124,1367,1315,3523,1457,267,1996,2184,1858,1122,4463,855,833,1575,3459,681,2095,1144,1821,674,905,1054,955,353,1692,630,400,3321,700,841,105
"149","Bintan",33735,408,1136,725,2078,1446,485,1441,4881,1356,114,1912,799,186,861,2770,316,1328,403,1195,584,504,609,861,342,1307,220,993,2901,824,715,33
"150","Natuna",35212,571,1415,1496,5626,1241,130,1513,3377,1261,330,851,586,1047,794,3033,111,3284,660,1065,304,500,41,354,244,1417,190,231,1625,871,996,47
"151","Lingga",47789,618,825,2703,6099,1575,210,1606,7169,1841,130,3322,1282,566,971,1986,162,3140,1242,1642,474,1019,218,1191,304,1068,399,854,3220,707,915,332
