"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"432","Konawe Utara",19544,849,2883,106,519,3336,649,1647,820,1136,156,12,624,544,51,90,NA,2003,784,801,243,304,63,108,16,120,242,124,19,40,131,22,986,5,42,68
"433","Kolaka Timur",15819,412,2933,233,150,872,452,2122,1404,1312,188,595,9,NA,NA,11,9,2775,504,298,20,37,NA,73,44,52,691,166,4,NA,3,65,365,16,NA,6
"434","Konawe Kepulauan",14451,1018,3782,188,1115,1830,242,22,7,1,NA,26,680,684,NA,13,33,3265,123,1025,196,37,13,4,NA,8,19,15,NA,NA,NA,NA,105,NA,NA,NA
"435","Muna Barat",12598,358,1789,142,222,4159,235,337,NA,166,10,11,180,267,18,61,44,2987,235,193,180,52,25,18,74,13,114,42,31,11,4,NA,603,4,7,5
"436","Buton Tengah",12298,826,1526,148,1835,1641,290,218,6,4,NA,43,1203,1314,NA,21,3,2294,566,182,135,0,NA,1,4,NA,20,3,NA,NA,NA,1,13,NA,NA,1
"437","Buton Selatan",11927,495,3643,145,2640,636,325,17,NA,NA,NA,24,414,679,NA,NA,NA,1768,225,650,31,71,25,19,NA,32,9,21,NA,NA,NA,NA,36,5,18,NA
"438","Kota Kendari",20606,1048,3808,47,1278,4257,699,1084,47,147,53,38,725,980,NA,63,37,3710,1238,596,180,14,NA,80,6,44,182,38,NA,18,NA,16,153,7,NA,10
"439","Kota Baubau",15743,424,2766,141,2105,1168,675,148,87,NA,NA,8,1382,862,NA,NA,8,4289,230,864,200,29,13,6,NA,NA,101,NA,4,NA,3,9,220,NA,2,NA
"440","Boalemo",14023,866,4263,61,1456,223,1026,213,25,471,276,117,674,866,NA,NA,NA,1158,309,963,21,23,9,NA,NA,275,625,3,NA,NA,NA,20,62,NA,18,NA
"441","Gorontalo",16802,639,4174,29,2184,172,176,144,109,1704,666,55,91,33,0,NA,7,3120,344,683,11,NA,5,7,NA,622,1047,21,NA,NA,NA,136,613,2,NA,7
"442","Pohuwato",15210,683,3738,34,1324,715,901,985,133,588,234,117,581,686,22,NA,17,2209,931,469,227,45,NA,NA,3,42,323,6,NA,43,NA,59,55,6,35,NA
"443","Bone Bolango",17692,756,5189,40,4310,206,108,35,50,827,600,10,102,12,NA,NA,16,2488,387,1179,23,NA,22,2,NA,81,632,4,NA,NA,NA,116,487,NA,NA,8
"444","Gorontalo Utara",15885,1448,4810,27,1886,787,485,132,NA,221,180,6,257,514,NA,NA,NA,2434,949,356,50,13,6,NA,NA,470,693,45,NA,NA,NA,109,8,NA,NA,NA
"445","Kota Gorontalo",19629,1197,6135,40,3475,1009,82,6,143,1298,488,50,51,3,NA,NA,NA,2775,692,1022,NA,NA,5,NA,NA,185,138,17,NA,NA,NA,93,682,NA,17,26
"446","Majene",14792,650,4901,227,3215,865,263,131,27,8,NA,7,560,89,NA,NA,NA,2219,378,312,8,6,29,NA,18,131,227,51,NA,3,NA,8,451,NA,NA,7
"447","Polewali Mandar",12368,200,2886,96,615,827,529,1861,49,173,431,36,90,129,NA,20,38,1829,583,128,36,38,35,22,7,557,476,79,30,117,NA,30,414,4,NA,4
"448","Mamasa",10940,25,1449,66,116,65,250,3628,68,246,649,70,NA,54,NA,NA,NA,357,26,NA,NA,18,35,78,6,44,2467,21,12,72,NA,2,1051,NA,NA,64
"449","Mamuju",13558,336,5036,65,67,361,390,2224,430,452,451,42,315,267,NA,16,NA,652,938,217,37,19,26,4,23,384,449,20,3,71,4,25,202,10,NA,22
"450","Mamuju Utara",17382,1571,3735,133,1122,660,251,2788,579,592,231,172,749,210,NA,5,15,925,1471,400,132,98,39,7,2,472,475,47,NA,67,39,17,366,1,NA,12
"451","Mamuju Tengah",13849,724,3468,149,241,643,191,2454,657,435,210,138,314,249,4,NA,33,1257,843,507,27,9,74,12,24,186,422,NA,2,61,51,31,371,1,15,48
"452","Maluku Tenggara Barat",17417,1794,2199,732,798,1830,204,271,33,18,NA,159,4143,2622,38,32,4,1591,270,503,38,57,38,3,NA,26,NA,NA,NA,NA,NA,NA,10,NA,7,NA
"453","Maluku Tenggara",15736,404,786,24,184,1128,300,7,29,NA,NA,NA,3363,1079,NA,NA,NA,7607,9,673,45,48,5,NA,NA,NA,13,NA,NA,NA,NA,3,30,NA,1,NA
"454","Maluku Tengah",15402,386,4195,17,1418,1155,3,23,2,NA,NA,NA,532,85,26,NA,27,6635,83,484,NA,7,NA,16,NA,182,20,17,NA,NA,27,36,28,NA,NA,NA
"455","Buru",14647,474,4687,101,744,1885,304,14,181,436,81,30,616,100,NA,50,28,3825,98,365,16,8,19,NA,NA,188,126,19,NA,5,NA,5,244,NA,NA,NA
