"","kabupaten_kota","minyak_dan_kelapa","minyak_kelapa","minyak_goreng_kelapa_sawit_bunga_matahari","kelapa_tidak_termasuk_santan_instan","minyak_dan_kelapa_lainnya"
"112","Kota Palembang",2808,227,2329,176,76
"113","Kota Prabumulih",2361,3,2252,86,20
"114","Kota Pagar Alam",2677,120,2475,51,31
"115","Kota Lubuklinggau",3187,NA,2826,231,130
"116","Bengkulu Selatan",4658,20,2753,1854,32
"117","Rejang Lebong",3406,153,2832,320,101
"118","Bengkulu Utara",4464,332,3178,913,42
"119","Kaur",4767,185,2447,2117,18
"120","Seluma",4196,163,2542,1485,6
"121","Mukomuko",4321,60,3236,948,78
"122","Lebong",3879,100,3251,510,17
"123","Kepahiang",4177,74,3554,484,65
"124","Bengkulu Tengah",4234,126,3222,885,2
"125","Kota Bengkulu",4122,12,3353,397,360
"126","Lampung Barat",4320,333,3695,287,5
"127","Tanggamus",3622,NA,3183,431,8
"128","Lampung Selatan",4445,34,3930,469,11
"129","Lampung Timur",3963,195,3111,641,17
"130","Lampung Tengah",4428,97,3502,798,30
"131","Lampung Utara",3978,118,3498,345,17
"132","Way Kanan",4202,NA,3685,491,25
"133","Tulangbawang",3333,NA,2912,406,15
"134","Pesawaran",4028,NA,3607,395,26
"135","Pringsewu",4345,NA,3928,403,14
"136","Mesuji",3934,NA,3366,544,24
"137","Tulang Bawang Barat",3713,NA,3232,421,61
"138","Pesisir Barat",4265,183,2969,1111,2
"139","Kota Bandar Lampung",3893,153,3409,238,93
"140","Kota Metro",3990,11,3338,553,89
"141","Bangka",3124,544,2291,248,41
"142","Belitung",4763,290,3855,526,92
"143","Bangka Barat",3623,67,3213,337,7
"144","Bangka Tengah",3473,36,3159,260,18
"145","Bangka Selatan",3339,390,2619,326,4
"146","Belitung Timur",4344,74,3897,295,78
"147","Kota Pangkal Pinang",3934,37,3289,277,331
"148","Karimun",4020,255,3357,316,92
"149","Bintan",4044,135,3476,368,64
"150","Natuna",4606,296,3966,311,33
"151","Lingga",4347,60,3816,310,160
"152","Kepulauan Anambas",5961,281,5143,406,131
"153","Kota Batam",4264,325,3236,442,261
"154","Kota Tanjung Pinang",4399,152,3855,151,241
"155","Kep. Seribu",4289,1425,2835,29,NA
"156","Kota Jakarta Selatan",4604,519,3602,284,199
"157","Kota Jakarta Timur",4071,369,3346,301,56
"158","Kota Jakarta Pusat",3429,517,2574,286,52
"159","Kota Jakarta Barat",3556,81,3144,230,101
"160","Kota Jakarta Utara",3565,580,2456,379,151
"161","Bogor",3854,521,3175,100,59
"162","Sukabumi",3205,204,2929,63,9
"163","Cianjur",3053,141,2784,86,42
"164","Bandung",3207,2,3132,51,21
"165","Garut",3532,407,3051,46,27
"166","Tasikmalaya",2530,98,2313,111,8
"167","Ciamis",2877,146,2618,94,20
"168","Kuningan",3473,57,3214,178,23
"169","Cirebon",2554,70,2364,98,23
"170","Majalengka",2600,50,2439,51,60
"171","Sumedang",3488,168,3134,133,54
"172","Indramayu",3069,39,2861,95,75
"173","Subang",3099,279,2777,10,32
"174","Purwakarta",3468,137,3123,128,80
"175","Karawang",2937,285,2615,22,15
"176","Bekasi",3905,354,3427,87,37
"177","Bandung Barat",2764,743,1949,46,27
"178","Pangandaran",3341,143,3042,155,1
"179","Kota Bogor",4095,80,3588,328,99
"180","Kota Sukabumi",3090,199,2656,164,71
"181","Kota Bandung",3811,977,2572,70,191
"182","Kota Cirebon",2773,151,2360,169,93
"183","Kota Bekasi",4164,536,3269,269,90
"184","Kota Depok",4210,72,3631,374,133
"185","Kota Cimahi",3254,567,2504,74,109
"186","Kota Tasikmalaya",3124,614,2399,44,67
"187","Kota Banjar",2575,107,2365,88,15
"188","Cilacap",3289,256,2891,135,7
"189","Banyumas",3436,192,3061,166,17
"190","Purbalingga",3263,307,2839,97,19
"191","Banjarnegara",4047,207,3401,373,66
"192","Kebumen",3720,229,3204,250,38
"193","Purworejo",3320,22,2620,628,50
"194","Wonosobo",3451,54,2667,593,137
"195","Magelang",3629,124,2782,624,100
"196","Boyolali",3612,72,2950,545,45
"197","Klaten",3564,232,3091,210,32
"198","Sukoharjo",3426,133,2933,291,69
"199","Wonogiri",4541,236,3216,1051,39
"200","Karanganyar",3693,63,3149,451,29
"201","Sragen",4238,282,3584,361,11
"202","Grobogan",3210,112,2756,306,37
"203","Blora",3569,40,2891,618,19
"204","Rembang",3869,149,2888,752,79
"205","Pati",3479,57,2939,480,4
"206","Kudus",3284,0,2957,275,52
"207","Jepara",3147,68,2520,539,20
"208","Demak",3517,18,3030,461,8
"209","Semarang",3969,178,3092,606,93
"210","Temanggung",2943,100,2188,573,82
"211","Kendal",3134,51,2733,279,71
"212","Batang",3252,53,2641,519,39
"213","Pekalongan",2988,100,2554,316,19
"214","Pemalang",2852,141,2550,148,14
"215","Tegal",3145,42,2935,123,45
"216","Brebes",2534,145,2320,39,30
"217","Kota Magelang",3643,122,3086,290,146
"218","Kota Surakarta",3045,197,2349,325,174
"219","Kota Salatiga",3833,66,2962,397,408
"220","Kota Semarang",3798,154,3092,290,262
"221","Kota Pekalongan",2982,167,2419,371,25
"222","Kota Tegal",2697,3,2435,221,38
"223","Kulon Progo",3129,22,2272,760,75
"224","Bantul",3488,101,2686,540,161
"225","Gunung Kidul",4744,17,3445,1262,20
"226","Sleman",3383,137,2607,485,153
"227","Kota Yogyakarta",2607,219,2050,146,192
"228","Pacitan",4278,300,2857,1082,40
"229","Ponorogo",4042,63,2641,1289,49
"230","Trenggalek",4470,97,2036,2206,131
"231","Tulungagung",4958,154,2733,2039,31
"232","Blitar",4683,260,2430,1848,146
"233","Kediri",3910,169,2463,1170,107
"234","Malang",3695,308,2669,692,26
"235","Lumajang",3701,323,2980,382,16
"236","Jember",3985,66,3459,437,23
"237","Banyuwangi",4197,210,3191,754,42
"238","Bondowoso",3301,327,2836,125,12
"239","Situbondo",3274,20,3080,147,27
"240","Probolinggo",2617,343,2133,127,14
"241","Pasuruan",3484,355,2932,166,31
"242","Sidoarjo",4101,519,3209,249,124
"243","Mojokerto",3677,183,3245,200,49
"244","Jombang",3868,184,2974,609,101
"245","Nganjuk",4376,25,3477,816,58
"246","Madiun",3705,366,2690,616,33
"247","Magetan",4305,90,3067,1060,89
"248","Ngawi",3253,91,2708,423,32
"249","Bojonegoro",4493,21,3535,919,18
"250","Tuban",3843,186,2837,782,38
"251","Lamongan",3495,83,3014,388,11
"252","Gresik",3618,201,3078,289,51
"253","Bangkalan",2924,219,2539,162,5
"254","Sampang",2772,128,2414,230,NA
"255","Pamekasan",3045,128,2719,198,1
"256","Sumenep",4050,796,2844,409,NA
"257","Kota Kediri",3620,117,2581,738,183
"258","Kota Blitar",3951,135,2531,940,345
"259","Kota Malang",3529,108,2951,261,209
"260","Kota Probolinggo",3084,325,2467,227,66
"261","Kota Pasuruan",2943,56,2574,198,115
"262","Kota Mojokerto",3340,351,2622,301,66
"263","Kota Madiun",3494,67,2653,566,207
"264","Kota Surabaya",4120,108,3490,406,116
"265","Kota Batu",3607,120,3031,342,113
"266","Pandeglang",2896,151,2647,94,4
"267","Lebak",4147,292,3695,142,18
"268","Tangerang",3820,118,3530,81,90
"269","Serang",3167,185,2913,69,0
"270","Kota Tangerang",4655,588,3699,315,53
"271","Kota Cilegon",4136,143,3766,168,59
"272","Kota Serang",3889,142,3558,139,51
"273","Kota Tangerang Selatan",4438,477,3743,206,12
"274","Jembrana",3870,409,3016,426,18
"275","Tabanan",3572,217,3016,214,126
"276","Badung",3435,358,2894,162,21
"277","Gianyar",3790,276,3169,333,12
"278","Klungkung",3073,932,1974,166,2
"279","Bangli",4042,202,3568,268,5
"280","Karangasem",3070,530,1953,577,11
"281","Buleleng",3250,114,2798,325,13
"282","Kota Denpasar",3449,166,3037,117,130
"283","Lombok Barat",2832,148,2441,241,2
"284","Lombok Tengah",3063,17,2443,587,16
"285","Lombok Timur",3950,135,3133,588,93
"286","Sumbawa",2997,4,2665,311,16
"287","Dompu",2458,45,1705,691,18
"288","Bima",2295,20,1828,414,33
"289","Sumbawa Barat",3020,0,2828,151,41
"290","Lombok Utara",3190,475,1940,748,26
"291","Kota Mataram",3379,1,2930,314,135
"292","Kota Bima",2766,NA,2360,365,42
"293","Sumba Barat",2793,38,2048,704,2
"294","Sumba Timur",2308,71,2109,126,2
"295","Kupang",2603,262,2314,24,3
"296","Timor Tengah Selatan",2756,251,2396,106,3
"297","Timor Tengah Utara",2820,100,2697,23,NA
"298","Belu",2602,201,2379,17,5
"299","Alor",2774,115,2479,162,18
"300","Lembata",2702,248,2328,123,3
"301","Flores Timur",2949,389,2080,479,3
"302","Sikka",2108,50,1699,357,2
"303","Ende",3188,96,2410,666,16
"304","Ngada",3400,175,2475,731,19
"305","Manggarai",2697,10,2535,119,33
"306","Rote Ndao",2981,261,2651,10,59
"307","Manggarai Barat",2746,59,2490,157,40
"308","Sumba Tengah",1716,105,1512,100,NA
"309","Sumba Barat Daya",1849,42,1419,368,19
"310","Nagekeo",2960,154,2271,535,NA
"311","Manggarai Timur",2194,145,1856,193,NA
"312","Sabu Raijua",3279,128,3112,35,3
"313","Malaka",2541,163,2363,11,4
"314","Kota Kupang",3405,36,3270,81,18
"315","Sambas",3243,279,2775,185,4
"316","Bengkayang",3260,1,3142,100,17
"317","Landak",3226,92,3038,77,19
"318","Mempawah",3072,309,2625,122,17
"319","Sanggau",3076,71,2799,176,30
"320","Ketapang",3438,186,3115,133,4
"321","Sintang",3626,261,3197,92,76
"322","Kapuas Hulu",2943,140,2690,86,27
"323","Sekadau",2984,60,2741,103,80
"324","Melawi",3392,7,3234,139,12
"325","Kayong Utara",3787,396,2856,519,15
"326","Kubu Raya",3302,379,2720,180,23
"327","Kota Pontianak",3248,472,2549,124,103
"328","Kota Singkawang",3734,172,3170,221,171
"329","Kotawaringin Barat",4800,3,4377,317,103
"330","Kotawaringin Timur",3896,344,3309,211,32
"331","Kapuas",3575,151,3254,155,16
"332","Barito Selatan",4033,328,3580,121,4
"333","Barito Utara",3833,77,3536,129,91
"334","Sukamara",4538,600,3631,195,113
"335","Lamandau",5336,191,4771,312,62
"336","Seruyan",4385,192,3983,200,9
"337","Katingan",4173,328,3615,216,14
"338","Pulang Pisau",4344,76,3970,247,51
"339","Gunung Mas",3210,180,2878,102,49
"340","Barito Timur",3979,54,3727,141,57
"341","Murung Raya",3362,389,2900,63,11
"342","Kota Palangka Raya",3648,276,3227,112,33
"343","Tanah Laut",3820,NA,3525,272,22
"344","Kota Baru",4506,3,4136,341,27
"345","Banjar",3566,NA,3276,237,53
"346","Barito Kuala",3815,NA,3518,277,21
"347","Tapin",4026,NA,3781,234,11
"348","Hulu Sungai Selatan",3323,NA,2997,323,3
"349","Hulu Sungai Tengah",3427,NA,3039,374,15
"350","Hulu Sungai Utara",3344,NA,3110,226,7
"351","Tabalong",4116,NA,3814,283,18
"352","Tanah Bumbu",4075,NA,3731,323,21
"353","Balangan",4008,NA,3755,226,27
"354","Kota Banjarmasin",3461,NA,3235,161,66
"355","Kota Banjar Baru",3944,NA,3635,232,77
"356","Paser",4083,211,3540,253,80
"357","Kutai Barat",4217,313,3663,213,28
"358","Kutai Kartanegara",3688,194,3376,103,15
"359","Kutai Timur",4427,154,4042,195,35
"360","Berau",4242,264,3717,210,51
"361","Penajam Paser Utara",4386,278,3596,404,109
"362","Mahakam Ulu",4316,138,4145,16,16
"363","Kota Balikpapan",3975,316,3185,291,183
"364","Kota Samarinda",3657,83,3168,273,132
"365","Kota Bontang",4100,10,3625,331,135
"366","Malinau",3747,396,3151,50,150
"367","Bulungan",3966,82,3700,169,15
"368","Tana Tidung",4481,180,4101,124,75
"369","Nunukan",3670,69,3313,261,27
"370","Kota Tarakan",3603,145,2948,461,49
