"","kabupaten_kota","telur_dan_susu","telur_ayam_ras","telur_ayam_kampung","telur_itik_telur_itik_manila","telur_lainnya_telur_puyuh_telur_asin_mentah_maupun_matang_telur_penyu_telur_angsa_dsb","susu_cair_pabrik","susu_kental_manis","susu_bubuk","susu_bubuk_bayi","susu_lainnya_dan_hasil_lain_dari_susu"
"473","Fakfak",9986,4045,223,NA,7,96,1253,2084,2182,97
"474","Kaimana",8568,2852,163,3,NA,325,709,2252,2063,201
"475","Teluk Wondama",6037,2445,125,NA,NA,61,1735,672,998,NA
"476","Teluk Bintuni",11622,5617,92,NA,12,99,1176,1713,2865,48
"477","Manokwari",8878,4095,207,78,6,219,1012,1200,1768,292
"478","Sorong Selatan",4373,2323,94,NA,NA,14,848,370,725,NA
"479","Sorong",11753,4371,216,52,26,1357,1334,1730,2549,119
"480","Raja Ampat",5957,2421,62,60,97,159,1327,590,1233,7
"481","Tambrauw",7435,2413,340,NA,81,245,936,1823,1597,NA
"482","Maybrat",6657,3938,101,4,NA,27,876,516,1195,NA
"483","Manokwari Selatan",6969,3192,210,43,33,100,685,1062,1540,104
"484","Pegunungan Arfak",3880,2286,450,NA,NA,45,784,60,210,45
"485","Kota Sorong",11651,4441,74,NA,38,234,994,2887,2710,273
"486","Merauke",10016,3905,316,352,27,482,965,2683,1287,NA
"487","Jayawijaya",7444,3179,1689,NA,NA,5,1286,1051,231,3
"488","Jayapura",9207,4575,108,20,5,176,1179,809,2221,114
"489","Nabire",12256,5198,118,25,108,307,1615,2322,2131,432
"490","Kepulauan Yapen",7757,3343,119,35,9,63,1735,1376,928,149
"491","Biak Numfor",6543,2578,103,NA,12,28,1119,1346,1333,24
"492","Paniai",7144,4314,227,NA,NA,7,2595,NA,NA,NA
"493","Puncak Jaya",10504,3306,419,NA,105,113,6157,271,130,4
"494","Mimika",10307,4218,94,0,11,272,1035,1521,3111,45
"495","Boven Digoel",6776,3123,95,2,41,75,1264,1334,842,NA
"496","Mappi",3073,1199,196,NA,NA,9,641,178,739,112
"497","Asmat",6179,2899,328,NA,10,86,730,842,1285,NA
"498","Yahukimo",3424,640,2555,NA,NA,NA,199,30,NA,NA
"499","Pegunungan Bintang",4005,1464,2028,NA,1,56,302,53,101,NA
"500","Tolikara",3493,1229,620,NA,NA,39,1605,NA,NA,NA
"501","Sarmi",8005,4456,131,NA,NA,NA,678,1308,1432,NA
"502","Keerom",6621,3771,46,8,40,84,870,1033,768,NA
"503","Waropen",8333,3058,161,NA,NA,114,1683,1370,1945,2
"504","Supiori",5436,2330,229,NA,NA,103,1051,766,957,NA
"505","Mamberamo Raya",5089,888,2860,NA,NA,49,794,193,306,NA
"506","Nduga",20394,8976,8853,NA,4,17,2029,5,511,NA
"507","Lanny Jaya",8430,4453,675,NA,NA,NA,2748,53,501,NA
"508","Mamberamo Tengah",4301,99,2300,NA,NA,36,1865,NA,NA,NA
"509","Yalimo",10774,4048,4787,20,NA,87,1817,7,9,NA
"510","Puncak",10940,4274,NA,NA,NA,51,6336,280,NA,NA
"511","Dogiyai",2753,2217,234,NA,NA,NA,303,NA,NA,NA
"512","Intan Jaya",8892,6831,NA,NA,NA,39,1914,NA,108,NA
"513","Deiyai",6077,4181,47,NA,NA,NA,1848,NA,NA,NA
"514","Kota Jayapura",11135,4633,128,NA,17,244,966,3400,1741,6
