"","kabupaten_kota","telur_dan_susu","telur_ayam_ras","telur_ayam_kampung","telur_itik_telur_itik_manila","telur_lainnya_telur_puyuh_telur_asin_mentah_maupun_matang_telur_penyu_telur_angsa_dsb","susu_cair_pabrik","susu_kental_manis","susu_bubuk","susu_bubuk_bayi","susu_lainnya_dan_hasil_lain_dari_susu"
"228","Pacitan",5595,3158,145,4,19,124,451,1007,599,89
"229","Ponorogo",5893,2818,127,6,26,259,412,1427,723,96
"230","Trenggalek",5473,2472,186,NA,54,198,413,1573,521,56
"231","Tulungagung",8087,3304,145,106,216,343,604,2017,1194,158
"232","Blitar",7392,2408,94,31,95,238,308,2025,1872,322
"233","Kediri",6681,2833,247,20,72,331,440,1581,996,163
"234","Malang",6122,2885,181,17,80,371,379,1355,748,106
"235","Lumajang",6009,3359,380,69,188,248,503,543,651,69
"236","Jember",5306,2698,209,39,87,198,279,980,720,96
"237","Banyuwangi",6353,2533,121,105,67,469,217,1169,1534,137
"238","Bondowoso",5372,2889,326,52,46,194,258,542,994,71
"239","Situbondo",5170,2565,404,23,65,263,172,494,1184,NA
"240","Probolinggo",4643,2502,367,21,58,180,289,303,838,85
"241","Pasuruan",6026,2762,197,18,142,334,382,938,1041,211
"242","Sidoarjo",12311,3866,177,27,200,982,618,3111,2851,480
"243","Mojokerto",7706,3372,265,5,137,519,580,1281,1314,233
"244","Jombang",8034,2550,277,21,155,496,411,2489,1418,216
"245","Nganjuk",8012,3068,250,7,84,264,384,1812,1629,513
"246","Madiun",5953,2926,319,3,64,131,348,1125,938,99
"247","Magetan",7530,3265,315,9,57,340,591,1669,987,295
"248","Ngawi",6325,2864,504,45,50,138,433,1118,992,181
"249","Bojonegoro",5135,2493,237,34,45,309,361,662,974,20
"250","Tuban",5032,2648,52,17,54,755,207,684,584,31
"251","Lamongan",7108,3217,137,4,81,338,410,977,1846,98
"252","Gresik",9819,3535,247,42,168,693,596,1864,2507,166
"253","Bangkalan",4279,2072,278,137,94,69,224,487,914,5
"254","Sampang",3482,2501,172,29,27,132,198,49,362,13
"255","Pamekasan",4009,1965,447,15,42,81,315,561,561,23
"256","Sumenep",6868,2837,1237,26,93,390,511,650,983,141
"257","Kota Kediri",9122,2943,138,3,171,756,271,3009,1563,268
"258","Kota Blitar",10961,3104,131,1,214,1192,445,3358,2313,203
"259","Kota Malang",12599,3871,257,73,180,1338,225,3403,2369,884
"260","Kota Probolinggo",9065,2826,319,2,142,677,383,1783,2083,851
"261","Kota Pasuruan",10913,3633,91,11,201,861,363,3429,2066,257
"262","Kota Mojokerto",11051,3362,92,30,253,987,318,4086,1800,124
"263","Kota Madiun",11598,3108,340,15,241,1068,474,4253,1634,465
"264","Kota Surabaya",13978,4354,286,33,296,1220,469,3600,3216,504
"265","Kota Batu",8628,3144,80,33,72,653,267,1593,1967,818
"266","Pandeglang",4517,2592,42,92,71,100,758,474,351,37
"267","Lebak",5693,4035,106,8,11,46,1063,141,266,18
"268","Tangerang",9498,3883,38,22,141,290,1330,1554,1976,265
"269","Serang",5498,2875,15,124,30,124,991,340,933,67
"270","Kota Tangerang",12881,5140,60,31,95,731,1026,2580,2945,273
"271","Kota Cilegon",10141,4306,44,16,127,1158,1438,1610,1421,21
"272","Kota Serang",9896,4354,22,14,50,819,910,1743,1688,295
"273","Kota Tangerang Selatan",12465,4890,183,1,326,1186,957,2819,1835,268
"274","Jembrana",6268,2885,197,64,20,88,271,997,1625,120
"275","Tabanan",8716,4213,78,43,95,118,148,1608,2203,210
"276","Badung",10043,3810,94,50,152,308,138,2651,2754,86
"277","Gianyar",7675,3201,59,99,34,226,123,1947,1909,76
"278","Klungkung",5377,2623,26,163,9,79,30,1269,1078,99
"279","Bangli",6644,2991,79,70,55,34,154,1083,2111,68
"280","Karangasem",4369,2453,85,51,14,9,52,783,923,NA
"281","Buleleng",5523,3280,133,83,35,255,109,798,792,38
"282","Kota Denpasar",11499,4097,170,2,118,825,307,2710,3175,94
"283","Lombok Barat",4385,2851,147,37,71,333,291,264,324,67
"284","Lombok Tengah",4459,2308,190,121,130,296,442,321,545,105
"285","Lombok Timur",6071,3695,93,83,190,379,649,361,496,126
"286","Sumbawa",6655,2801,102,9,51,563,518,1454,825,331
"287","Dompu",5337,2408,74,52,66,405,819,490,873,150
"288","Bima",5107,2744,36,75,21,260,641,358,910,63
"289","Sumbawa Barat",8536,3095,217,17,177,639,646,614,2906,224
"290","Lombok Utara",4790,3014,85,4,162,535,463,198,310,18
"291","Kota Mataram",10761,3604,244,119,189,1553,642,2911,1304,195
"292","Kota Bima",9146,3456,74,49,13,1800,586,2055,667,446
"293","Sumba Barat",3652,1443,401,16,15,85,60,542,1061,28
"294","Sumba Timur",5969,1795,477,32,29,219,298,1653,1462,3
"295","Kupang",4006,1480,539,NA,10,39,107,1321,507,3
"296","Timor Tengah Selatan",4483,1836,649,NA,30,117,195,1221,435,NA
"297","Timor Tengah Utara",5010,2119,329,8,6,50,164,1367,956,11
"298","Belu",4951,2544,401,15,15,48,317,910,648,53
"299","Alor",3747,1287,354,NA,6,92,157,1164,685,1
"300","Lembata",3641,1569,281,4,2,23,246,829,556,131
"301","Flores Timur",3611,2016,238,NA,14,21,244,565,459,54
"302","Sikka",3706,1253,396,22,33,49,303,1076,549,24
"303","Ende",5032,1875,338,NA,23,242,585,990,917,61
"304","Ngada",5640,2213,332,10,NA,32,157,1706,1086,105
"305","Manggarai",5664,2420,183,NA,2,60,111,2075,804,9
"306","Rote Ndao",4595,1903,279,5,11,5,180,1064,1141,6
"307","Manggarai Barat",6503,2827,272,1,4,105,235,1520,1511,29
"308","Sumba Tengah",4100,1457,799,24,9,11,128,806,854,12
"309","Sumba Barat Daya",2875,1447,473,3,6,16,90,426,383,32
"310","Nagekeo",4632,1676,446,22,19,22,174,1822,419,35
"311","Manggarai Timur",3700,1678,319,NA,NA,46,301,835,515,6
"312","Sabu Raijua",5040,2133,275,NA,NA,10,582,1516,524,NA
"313","Malaka",3872,1808,283,19,21,42,211,893,548,46
"314","Kota Kupang",11625,3856,134,NA,49,779,254,3932,2347,274
"315","Sambas",7262,3428,31,198,38,181,620,1215,1545,6
"316","Bengkayang",9533,4140,133,25,59,93,918,1751,2354,59
"317","Landak",6947,3847,193,19,119,47,1207,588,856,70
"318","Mempawah",6703,3346,110,9,80,42,898,759,1421,38
"319","Sanggau",8912,4213,288,31,82,156,1051,1207,1853,31
"320","Ketapang",9555,4325,314,40,15,160,1046,1607,2031,17
"321","Sintang",7218,3618,232,24,103,36,813,914,1440,37
"322","Kapuas Hulu",6253,4156,47,7,79,11,709,361,846,37
"323","Sekadau",6650,3342,86,44,13,85,944,977,1154,4
"324","Melawi",7435,3886,193,20,52,36,843,951,1352,102
"325","Kayong Utara",10058,4130,134,55,49,279,1471,1865,2016,58
"326","Kubu Raya",7031,3705,154,6,39,157,823,686,1286,174
"327","Kota Pontianak",12557,4450,122,23,187,567,716,3511,2620,362
"328","Kota Singkawang",10710,3803,173,75,343,371,833,3165,1452,496
"329","Kotawaringin Barat",12042,4647,339,67,98,615,1330,1946,2834,166
"330","Kotawaringin Timur",10447,4140,100,114,30,257,1515,2394,1775,121
"331","Kapuas",6828,3351,131,145,9,148,779,1093,969,204
"332","Barito Selatan",8731,4320,234,415,42,166,1114,754,1626,61
"333","Barito Utara",9997,4358,218,360,55,244,1503,885,2177,197
"334","Sukamara",10477,4451,340,89,58,389,1462,1384,2012,291
"335","Lamandau",14237,5678,410,131,28,423,1686,2874,2998,9
"336","Seruyan",12578,5587,245,51,30,259,1609,1991,2728,78
"337","Katingan",10654,4470,277,71,14,147,1414,1310,2874,77
"338","Pulang Pisau",8417,4142,510,134,8,273,1271,876,1139,64
"339","Gunung Mas",9167,3866,148,31,15,224,1368,1389,1986,140
"340","Barito Timur",10012,3987,118,371,25,339,954,2001,2070,147
"341","Murung Raya",10071,4446,86,286,5,34,1008,1932,1985,288
"342","Kota Palangka Raya",12842,4584,116,161,65,484,838,3855,2537,203
"343","Tanah Laut",8560,3131,193,692,63,247,903,1646,1606,79
"344","Kota Baru",10922,4068,118,98,76,303,1156,2032,3070,1
"345","Banjar",9632,3684,133,843,66,643,904,1658,1638,62
"346","Barito Kuala",8461,3473,96,294,17,205,728,1484,2126,38
"347","Tapin",9301,3312,154,1325,32,452,811,920,2227,68
"348","Hulu Sungai Selatan",7902,1986,132,1823,98,438,414,862,2072,76
"349","Hulu Sungai Tengah",7624,3208,152,1294,52,406,595,752,1151,14
"350","Hulu Sungai Utara",9003,2867,103,1203,61,268,466,1218,2707,109
"351","Tabalong",8477,3437,154,1012,54,265,827,1197,1480,52
"352","Tanah Bumbu",10140,3598,343,515,180,555,1254,777,2802,116
"353","Balangan",7919,3860,80,695,23,435,569,704,1476,76
"354","Kota Banjarmasin",13692,4418,101,653,258,747,696,3886,2469,463
"355","Kota Banjar Baru",13503,4695,62,594,107,1320,888,3197,2399,240
"356","Paser",10542,4548,187,45,8,486,930,2377,1876,84
"357","Kutai Barat",10274,4343,147,4,18,369,832,1696,2863,2
"358","Kutai Kartanegara",9252,4644,70,47,8,194,1110,1155,1901,123
"359","Kutai Timur",12914,5516,238,46,57,904,1143,2956,2013,41
"360","Berau",13230,5986,185,42,32,556,1089,2390,2592,358
"361","Penajam Paser Utara",9133,4310,105,67,1,369,1110,1886,1069,217
"362","Mahakam Ulu",9852,4965,156,86,13,89,1036,2183,1310,13
"363","Kota Balikpapan",13946,4142,229,58,101,1685,711,3869,2264,887
"364","Kota Samarinda",9805,3835,41,18,80,549,729,2470,1955,127
"365","Kota Bontang",11780,4524,140,36,31,1465,620,2378,1937,649
"366","Malinau",7461,3238,273,10,23,172,948,1383,1206,208
"367","Bulungan",10706,4772,251,66,13,502,1179,1687,2171,65
"368","Tana Tidung",11944,5718,166,45,54,166,1613,1958,1979,246
"369","Nunukan",10465,4742,252,225,5,208,2281,652,2073,28
"370","Kota Tarakan",11766,4805,93,NA,39,500,1186,2374,2514,255
"371","Bolaang Mongondow",6741,3067,165,11,15,125,339,1136,1796,88
"372","Minahasa",7000,2067,141,92,1,116,226,2450,1617,290
"373","Kepulauan Sangihe",6552,2435,46,NA,15,27,127,2020,1882,NA
"374","Kepulauan Talaud",8187,2962,54,7,NA,173,264,1676,3039,12
"375","Minahasa Selatan",8295,2177,351,13,2,140,403,3077,2030,103
"376","Minahasa Utara",8129,2766,210,NA,7,269,307,3444,1009,117
"377","Bolaang Mongondow Utara",5742,2774,77,NA,NA,244,663,795,1117,73
"378","Siau Tagulandang Biaro",5980,1931,131,NA,NA,34,76,1715,2049,45
"379","Minahasa Tenggara",6673,2300,157,43,25,201,228,2085,1619,15
"380","Bolaang Mongondow Selatan",5087,2471,45,0,5,50,393,654,1433,34
"381","Bolaang Mongondow Timur",6450,2360,86,4,9,208,409,1435,1871,68
"382","Kota Manado",9851,3152,96,2,51,286,367,2989,2542,366
"383","Kota Bitung",9193,3227,46,9,18,453,292,2504,2530,115
"384","Kota Tomohon",8496,2544,197,21,40,199,124,3734,1453,184
"385","Kota Kotamobagu",9256,2805,24,14,4,221,341,3064,2648,135
